"@timestamp","_source"
"21:24:18.072 2025-10-05","{""@timestamp"":""21:24:18.072 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""selinux_context"":""unconfined"",""audit_loginuid"":""4294967295"",""audit_session"":""4294967295"",""audit_field_res"":""failed"",""audit_type"":""1100"",""audit_type_name"":""USER_AUTH"",""audit_field_op"":""PAM:authentication"",""audit_field_grantors"":""?"",""audit_field_exe"":""/usr/sbin/vsftpd"",""audit_field_terminal"":""ftp"",""hostname"":""srvbastion"",""audit_field_acct"":""temp"",""audit_field_hostname"":""192.168.98.3"",""audit_field_addr"":""192.168.98.3"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""pid"":""26025"",""source_realtime_timestamp"":""1759699458066000"",""audit_id"":""30198"",""message"":""USER_AUTH pid=26025 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:authentication grantors=? acct=\""temp\"" exe=\""/usr/sbin/vsftpd\"" hostname=192.168.98.3 addr=192.168.98.3 terminal=ftp res=failed'"",""tag"":""auditd"",""_id"":""anRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.042 2025-10-05","{""@timestamp"":""21:24:18.042 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699458034000"",""audit_id"":""30196"",""tag"":""auditd"",""_id"":""ZnRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.042 2025-10-05","{""@timestamp"":""21:24:18.042 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""uid"":""0"",""gid"":""0"",""euid"":""0"",""audit_field_suid"":""0"",""fsuid"":""0"",""egid"":""0"",""audit_field_sgid"":""0"",""fsgid"":""0"",""selinux_context"":""unconfined"",""audit_field_a3"":""0"",""audit_field_syscall"":""257"",""audit_field_exit"":""5"",""audit_field_a0"":""ffffff9c"",""audit_field_items"":""1"",""audit_field_a2"":""80000"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""etcpasswd\"""",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a1"":""7fd361db8bf9"",""ppid"":""580"",""message"":""SYSCALL arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7fd361db8bf9 a2=80000 a3=0 items=1 ppid=580 pid=26025 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""etcpasswd\"""",""pid"":""26025"",""source_realtime_timestamp"":""1759699458038000"",""audit_id"":""30197"",""tag"":""auditd"",""_id"":""Z3RDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.042 2025-10-05","{""@timestamp"":""21:24:18.042 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1302"",""audit_type_name"":""PATH"",""audit_field_item"":""0"",""audit_field_dev"":""fe:01"",""audit_field_ouid"":""0"",""audit_field_rdev"":""00:00"",""audit_field_nametype"":""NORMAL"",""audit_field_cap_fp"":""0"",""audit_field_cap_fi"":""0"",""audit_field_cap_fe"":""0"",""audit_field_cap_fver"":""0"",""audit_field_cap_frootid"":""0"",""audit_field_mode"":""0100640"",""audit_field_ogid"":""42"",""message"":""PATH item=0 name=\""/etc/shadow\"" inode=131942 dev=fe:01 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0"",""audit_field_name"":""/etc/shadow"",""audit_field_inode"":""131942"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699458038000"",""audit_id"":""30197"",""tag"":""auditd"",""_id"":""aHRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.042 2025-10-05","{""@timestamp"":""21:24:18.042 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699458038000"",""audit_id"":""30197"",""tag"":""auditd"",""_id"":""aXRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.041 2025-10-05","{""@timestamp"":""21:24:18.041 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""uid"":""0"",""gid"":""0"",""euid"":""0"",""audit_field_suid"":""0"",""fsuid"":""0"",""egid"":""0"",""audit_field_sgid"":""0"",""fsgid"":""0"",""selinux_context"":""unconfined"",""audit_field_a3"":""0"",""audit_field_syscall"":""257"",""audit_field_exit"":""5"",""audit_field_a0"":""ffffff9c"",""audit_field_items"":""1"",""audit_field_a2"":""80000"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""etcpasswd\"""",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a1"":""7fd361db8bf9"",""ppid"":""580"",""source_realtime_timestamp"":""1759699458034000"",""audit_id"":""30196"",""message"":""SYSCALL arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7fd361db8bf9 a2=80000 a3=0 items=1 ppid=580 pid=26025 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""etcpasswd\"""",""pid"":""26025"",""tag"":""auditd"",""_id"":""ZHRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:18.041 2025-10-05","{""@timestamp"":""21:24:18.041 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1302"",""audit_type_name"":""PATH"",""audit_field_item"":""0"",""audit_field_dev"":""fe:01"",""audit_field_ouid"":""0"",""audit_field_rdev"":""00:00"",""audit_field_nametype"":""NORMAL"",""audit_field_cap_fp"":""0"",""audit_field_cap_fi"":""0"",""audit_field_cap_fe"":""0"",""audit_field_cap_fver"":""0"",""audit_field_cap_frootid"":""0"",""audit_field_mode"":""0100640"",""audit_field_ogid"":""42"",""message"":""PATH item=0 name=\""/etc/shadow\"" inode=131942 dev=fe:01 mode=0100640 ouid=0 ogid=42 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0"",""audit_field_name"":""/etc/shadow"",""audit_field_inode"":""131942"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699458034000"",""audit_id"":""30196"",""tag"":""auditd"",""_id"":""ZXRDtpkBStl87ql0xt0N"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:13.180 2025-10-05","{""@timestamp"":""21:24:13.180 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""selinux_context"":""unconfined"",""audit_field_exit"":""5"",""audit_field_syscall"":""41"",""audit_field_a0"":""2"",""audit_field_a1"":""1"",""audit_field_items"":""0"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""network_socket_created\"""",""audit_field_a2"":""6"",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""uid"":""65534"",""gid"":""65534"",""euid"":""65534"",""audit_field_suid"":""65534"",""fsuid"":""65534"",""egid"":""65534"",""audit_field_sgid"":""65534"",""fsgid"":""65534"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a3"":""8c275999455f552c"",""ppid"":""580"",""pid"":""26010"",""message"":""SYSCALL arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=6 a3=8c275999455f552c items=0 ppid=580 pid=26010 auid=4294967295 uid=65534 gid=65534 euid=65534 suid=65534 fsuid=65534 egid=65534 sgid=65534 fsgid=65534 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""network_socket_created\"""",""source_realtime_timestamp"":""1759699453174000"",""audit_id"":""30195"",""tag"":""auditd"",""_id"":""YHRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:13.180 2025-10-05","{""@timestamp"":""21:24:13.180 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699453174000"",""audit_id"":""30195"",""tag"":""auditd"",""_id"":""YXRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:07.736 2025-10-05","{""@timestamp"":""21:24:07.736 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1327"",""audit_type_name"":""PROCTITLE"",""message"":""PROCTITLE proctitle=2F7573722F7362696E2F767366747064002F6574632F7673667470642E636F6E66"",""cmdline"":""/usr/sbin/vsftpd /etc/vsftpd.conf"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""source_realtime_timestamp"":""1759699447734000"",""audit_id"":""30194"",""tag"":""auditd"",""_id"":""X3RCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
"21:24:07.735 2025-10-05","{""@timestamp"":""21:24:07.735 2025-10-05"",""transport"":""audit"",""syslog_facility"":""4"",""syslog_identifier"":""audit"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""audit_type"":""1300"",""audit_type_name"":""SYSCALL"",""audit_field_arch"":""c000003e"",""audit_field_success"":""yes"",""selinux_context"":""unconfined"",""audit_field_exit"":""5"",""audit_field_syscall"":""41"",""audit_field_a0"":""2"",""audit_field_a1"":""1"",""audit_field_items"":""0"",""audit_loginuid"":""4294967295"",""tty"":""(none)"",""audit_session"":""4294967295"",""audit_field_key"":""\""network_socket_created\"""",""audit_field_a2"":""6"",""comm"":""vsftpd"",""exe"":""/usr/sbin/vsftpd"",""hostname"":""srvbastion"",""uid"":""65534"",""gid"":""65534"",""euid"":""65534"",""audit_field_suid"":""65534"",""fsuid"":""65534"",""egid"":""65534"",""audit_field_sgid"":""65534"",""fsgid"":""65534"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""audit_field_a3"":""8c275999455f552c"",""ppid"":""580"",""pid"":""26010"",""message"":""SYSCALL arch=c000003e syscall=41 success=yes exit=5 a0=2 a1=1 a2=6 a3=8c275999455f552c items=0 ppid=580 pid=26010 auid=4294967295 uid=65534 gid=65534 euid=65534 suid=65534 fsuid=65534 egid=65534 sgid=65534 fsgid=65534 tty=(none) ses=4294967295 comm=\""vsftpd\"" exe=\""/usr/sbin/vsftpd\"" subj=unconfined key=\""network_socket_created\"""",""source_realtime_timestamp"":""1759699447734000"",""audit_id"":""30194"",""tag"":""auditd"",""_id"":""XnRCtpkBStl87ql0093E"",""_type"":"" - "",""_index"":""index-f607d6555e6d-auditd"",""_score"":""""}"
