"@timestamp","_source"
"21:22:36.523 2025-10-05","{""@timestamp"":""21:22:36.523 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""priority"":""6"",""transport"":""journal"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""code_file"":""src/login/logind-session.c"",""syslog_identifier"":""systemd-logind"",""comm"":""systemd-logind"",""exe"":""/usr/lib/systemd/systemd-logind"",""cmdline"":""/lib/systemd/systemd-logind"",""cap_effective"":""24420020f"",""systemd_cgroup"":""/system.slice/systemd-logind.service"",""systemd_unit"":""systemd-logind.service"",""code_line"":""908"",""code_func"":""session_finalize"",""message_id"":""3354939424b4456d9802ca8333ed424a"",""hostname"":""srvbastion"",""pid"":""577"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""tid"":""577"",""systemd_invocation_id"":""b3b2b8e3006146c7a7ea0f34dd24fcbb"",""session_id"":""66"",""user_id"":""root"",""leader"":""25961"",""message"":""Removed session 66."",""source_realtime_timestamp"":""1759699356523408"",""tag"":""systemd"",""_id"":""vnRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:36.522 2025-10-05","{""@timestamp"":""21:22:36.522 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""priority"":""6"",""transport"":""journal"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""code_file"":""src/login/logind-session.c"",""code_line"":""851"",""code_func"":""session_stop_scope"",""syslog_identifier"":""systemd-logind"",""comm"":""systemd-logind"",""exe"":""/usr/lib/systemd/systemd-logind"",""cmdline"":""/lib/systemd/systemd-logind"",""cap_effective"":""24420020f"",""systemd_cgroup"":""/system.slice/systemd-logind.service"",""systemd_unit"":""systemd-logind.service"",""hostname"":""srvbastion"",""pid"":""577"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""tid"":""577"",""systemd_invocation_id"":""b3b2b8e3006146c7a7ea0f34dd24fcbb"",""session_id"":""66"",""user_id"":""root"",""leader"":""25961"",""message"":""Session 66 logged out. Waiting for processes to exit."",""source_realtime_timestamp"":""1759699356522311"",""tag"":""systemd"",""_id"":""vXRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.294 2025-10-05","{""@timestamp"":""21:22:07.294 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""Starting session: shell on pts/0 for root from 192.168.99.5 port 49074 id 0"",""source_realtime_timestamp"":""1759699327294301"",""tag"":""systemd"",""_id"":""vHRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.248 2025-10-05","{""@timestamp"":""21:22:07.248 2025-10-05"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""syslog_facility"":""10"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""priority"":""7"",""message"":""pam_env(sshd:session): deprecated reading of user environment enabled"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""source_realtime_timestamp"":""1759699327248781"",""tag"":""systemd"",""_id"":""u3RBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.114 2025-10-05","{""@timestamp"":""21:22:07.114 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""priority"":""6"",""transport"":""journal"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""code_file"":""src/login/logind-session.c"",""syslog_identifier"":""systemd-logind"",""comm"":""systemd-logind"",""exe"":""/usr/lib/systemd/systemd-logind"",""cmdline"":""/lib/systemd/systemd-logind"",""cap_effective"":""24420020f"",""systemd_cgroup"":""/system.slice/systemd-logind.service"",""systemd_unit"":""systemd-logind.service"",""code_line"":""780"",""code_func"":""session_start"",""message_id"":""8d45620c1a4348dbb17410da57c60c66"",""hostname"":""srvbastion"",""pid"":""577"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""tid"":""577"",""systemd_invocation_id"":""b3b2b8e3006146c7a7ea0f34dd24fcbb"",""session_id"":""66"",""user_id"":""root"",""leader"":""25961"",""message"":""New session 66 of user root."",""source_realtime_timestamp"":""1759699327114102"",""tag"":""systemd"",""_id"":""unRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.078 2025-10-05","{""@timestamp"":""21:22:07.078 2025-10-05"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""syslog_facility"":""10"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""pam_unix(sshd:session): session opened for user root(uid=0) by (uid=0)"",""source_realtime_timestamp"":""1759699327078189"",""tag"":""systemd"",""_id"":""uXRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.075 2025-10-05","{""@timestamp"":""21:22:07.075 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""Accepted publickey for root from 192.168.99.5 port 49074 ssh2: RSA SHA256:FjBQGrJJOQMlgBrhe142WU2V2z1EYzdqdFpbQIX4R8s"",""source_realtime_timestamp"":""1759699327074746"",""tag"":""systemd"",""_id"":""uHRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.066 2025-10-05","{""@timestamp"":""21:22:07.066 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""Postponed publickey for root from 192.168.99.5 port 49074 ssh2 [preauth]"",""source_realtime_timestamp"":""1759699327065921"",""tag"":""systemd"",""_id"":""tnRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.066 2025-10-05","{""@timestamp"":""21:22:07.066 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""Accepted key RSA SHA256:FjBQGrJJOQMlgBrhe142WU2V2z1EYzdqdFpbQIX4R8s found at /root/.ssh/authorized_keys:1"",""source_realtime_timestamp"":""1759699327066321"",""tag"":""systemd"",""_id"":""t3RBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
"21:22:07.059 2025-10-05","{""@timestamp"":""21:22:07.059 2025-10-05"",""syslog_facility"":""4"",""machine_id"":""40d9637dc8554937a8bc4083032e5262"",""runtime_scope"":""system"",""uid"":""0"",""gid"":""0"",""transport"":""syslog"",""priority"":""6"",""cap_effective"":""1ffffffffff"",""selinux_context"":""unconfined\n"",""systemd_slice"":""system.slice"",""comm"":""sshd"",""exe"":""/usr/sbin/sshd"",""syslog_identifier"":""sshd"",""cmdline"":""\""sshd: [accepted]\"""",""systemd_cgroup"":""/system.slice/ssh.service"",""systemd_unit"":""ssh.service"",""hostname"":""srvbastion"",""boot_id"":""3ae25fcb59c14648ad7577fa5d64e777"",""systemd_invocation_id"":""c6ce84268e1641eaad75bcaef29df849"",""pid"":""25961"",""syslog_pid"":""25961"",""syslog_timestamp"":""Oct  5 23:22:07 "",""message"":""Accepted key RSA SHA256:FjBQGrJJOQMlgBrhe142WU2V2z1EYzdqdFpbQIX4R8s found at /root/.ssh/authorized_keys:1"",""source_realtime_timestamp"":""1759699327059010"",""tag"":""systemd"",""_id"":""tXRBtpkBStl87ql0WNzf"",""_type"":"" - "",""_index"":""index-f607d6555e6d-systemd"",""_score"":""""}"
